Bin,Density,Frequency,Min,Max,Fit,sub Dist,Density^2,Fit^2,Normed Fit,Normed Fit^2,Variables,NORM =/=1,Assumed Norm =1,Percent Diff,,,,,Remove Outliers,Bin,Density,Frequency,Min,Max,Fit,sum Dist,Variables,NORM =/=1,Assumed Norm =1,Percent Diff same data,Percent Diff Norm=/=1,Percent Diff Norm=1
-26.04909134,0.01290291,1,-26.06462901,-26.03355367,0.000657457,0.000149951,0.000166485,4.32E-07,0.000584091,3.41E-07,Normalizer,1.059269515,1,0.057563631,,,,using midpoint from previous data,x0 approx 0.2185040235,-16.41573611,0,0,-16.43127378,-16.40019844,0.001635104,2.67E-06,Normalizer,1.059826997,1,0.058089342,-0.000526151,0
-26.018016,0,0,-26.03355367,-26.00247833,0.000659011,4.34E-07,0,4.34E-07,0.000585473,3.43E-07,Gamma,1.349111502,1.268911575,0.061267548,,,,using midpoint from previous data,gamma approx 1.3090115385,-16.38466077,0,0,-16.40019844,-16.3691231,0.00164119,2.69E-06,Gamma,1.350213713,1.269162921,0.061885557,-0.000816657,-0.000198061
-25.98694066,0,0,-26.00247833,-25.97140299,0.000660571,4.36E-07,0,4.36E-07,0.000586859,3.44E-07,X0,0.220089176,0.216918871,0.014509142,,,,95% of data should occur ,,-16.35358543,0,0,-16.3691231,-16.33804776,0.001647309,2.71E-06,X0,0.220127481,0.216925089,0.014654494,-0.000174025,-2.87E-05
-25.95586532,0,0,-25.97140299,-25.94032765,0.000662136,4.38E-07,0,4.38E-07,0.00058825,3.46E-07,chi^2,0.407641354,0.41398057,-0.015430981,,,,"between [-16.4141,16.8511]",,-16.32251009,0,0,-16.33804776,-16.30697242,0.001653463,2.73E-06,chi^2,0.406094219,0.41253785,-0.015742435,0.00380255,0.003491078
-25.92478998,0,0,-25.94032765,-25.90925231,0.000663707,4.41E-07,0,4.41E-07,0.000589646,3.48E-07,<Density|Density>,4.666909975,4.666909975,,,,,We will use that interval for the next fit,,-16.29143475,0,0,-16.30697242,-16.27589708,0.001659651,2.75E-06,,,,,,
-25.89371464,0,0,-25.90925231,-25.87817697,0.000665283,4.43E-07,0,4.43E-07,0.000591047,3.49E-07,<Fit|Fit>,4.259270724,4.035938157,,,,,,,-16.26035941,0,0,-16.27589708,-16.24482174,0.001665874,2.78E-06,,,,,,
-25.8626393,0,0,-25.87817697,-25.84710163,0.000666865,4.45E-07,0,4.45E-07,0.000592453,3.51E-07,<Fit|Density>,4.259269672,4.144433781,,,,,,,-16.22928407,0,0,-16.24482174,-16.2137464,0.001672132,2.80E-06,,,,,,
-25.83156396,0,0,-25.84710163,-25.81602629,0.000668453,4.47E-07,0,4.47E-07,0.000593864,3.53E-07,cos(fitDensity),0.955328653,0.954944742,,,,,,,-16.19820873,0,0,-16.2137464,-16.18267106,0.001678425,2.82E-06,,,,,,
-25.80048862,0,0,-25.81602629,-25.78495095,0.000670046,4.49E-07,0,4.49E-07,0.00059528,3.54E-07,AngleFitDensity (rad),0.300026515,0.301322791,,,,,,,-16.16713339,0,0,-16.18267106,-16.15159572,0.001684754,2.84E-06,,,,,,
-25.76941328,0,0,-25.78495095,-25.75387561,0.000671645,4.51E-07,0,4.51E-07,0.000596702,3.56E-07,AngleFitDensity (deg),17.19025305,17.26452419,,,,,,,-16.13605805,0,0,-16.15159572,-16.12052038,0.001691119,2.86E-06,,,,,,
